Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Fenpyroximate, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Fenpyroximate, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Fipronil, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Fipronil, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Flubendiamide, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Flubendiamide, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Flusilazole, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Flusilazole, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Hexaconazole, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Hexaconazole, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Hexythiazox, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Hexythiazox, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Imidacloprid, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Imidacloprid, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Indoxacarb, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Indoxacarb, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Kresoxim methyl, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Kresoxim methyl, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Lambda cyhalothrin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Lambda cyhalothrin, mg/kg",,,,,,,
